"Method","Level","Shard","Chain","Acceptance_Rate","Summary"
"Full-data RWMH","Chain",NA,1,0.391875,FALSE
"Full-data RWMH","Chain",NA,2,0.39245,FALSE
"Full-data RWMH","Chain",NA,3,0.3916,FALSE
"Full-data RWMH","Chain",NA,4,0.3949125,FALSE
"Full-data IMH","Chain",NA,1,0.2174625,FALSE
"Full-data IMH","Chain",NA,2,0.21975,FALSE
"Full-data IMH","Chain",NA,3,0.2151375,FALSE
"Full-data IMH","Chain",NA,4,0.2155125,FALSE
"CMC-RWMH","Shard-chain",1,1,0.402475,FALSE
"CMC-RWMH","Shard-chain",2,1,0.4113125,FALSE
"CMC-RWMH","Shard-chain",3,1,0.391975,FALSE
"CMC-RWMH","Shard-chain",4,1,0.40355,FALSE
"CMC-RWMH","Shard-chain",5,1,0.38835,FALSE
"CMC-RWMH","Shard-chain",6,1,0.39385,FALSE
"CMC-RWMH","Shard-chain",7,1,0.3916,FALSE
"CMC-RWMH","Shard-chain",8,1,0.4029375,FALSE
"CMC-RWMH","Shard-chain",9,1,0.3775625,FALSE
"CMC-RWMH","Shard-chain",10,1,0.40185,FALSE
"CMC-RWMH","Shard-chain",1,2,0.3980625,FALSE
"CMC-RWMH","Shard-chain",2,2,0.40605,FALSE
"CMC-RWMH","Shard-chain",3,2,0.3951,FALSE
"CMC-RWMH","Shard-chain",4,2,0.3996875,FALSE
"CMC-RWMH","Shard-chain",5,2,0.387925,FALSE
"CMC-RWMH","Shard-chain",6,2,0.3901375,FALSE
"CMC-RWMH","Shard-chain",7,2,0.389225,FALSE
"CMC-RWMH","Shard-chain",8,2,0.40595,FALSE
"CMC-RWMH","Shard-chain",9,2,0.3794375,FALSE
"CMC-RWMH","Shard-chain",10,2,0.4028125,FALSE
"CMC-RWMH","Shard-chain",1,3,0.396725,FALSE
"CMC-RWMH","Shard-chain",2,3,0.4072375,FALSE
"CMC-RWMH","Shard-chain",3,3,0.39475,FALSE
"CMC-RWMH","Shard-chain",4,3,0.3981125,FALSE
"CMC-RWMH","Shard-chain",5,3,0.3912375,FALSE
"CMC-RWMH","Shard-chain",6,3,0.389925,FALSE
"CMC-RWMH","Shard-chain",7,3,0.3920375,FALSE
"CMC-RWMH","Shard-chain",8,3,0.4061875,FALSE
"CMC-RWMH","Shard-chain",9,3,0.3775625,FALSE
"CMC-RWMH","Shard-chain",10,3,0.4039625,FALSE
"CMC-RWMH","Shard-chain",1,4,0.402525,FALSE
"CMC-RWMH","Shard-chain",2,4,0.4084375,FALSE
"CMC-RWMH","Shard-chain",3,4,0.3936,FALSE
"CMC-RWMH","Shard-chain",4,4,0.4028125,FALSE
"CMC-RWMH","Shard-chain",5,4,0.3899875,FALSE
"CMC-RWMH","Shard-chain",6,4,0.39015,FALSE
"CMC-RWMH","Shard-chain",7,4,0.3894625,FALSE
"CMC-RWMH","Shard-chain",8,4,0.4072875,FALSE
"CMC-RWMH","Shard-chain",9,4,0.3765375,FALSE
"CMC-RWMH","Shard-chain",10,4,0.4078125,FALSE
"CMC-IMH","Shard-chain",1,1,0.2185,FALSE
"CMC-IMH","Shard-chain",2,1,0.2165875,FALSE
"CMC-IMH","Shard-chain",3,1,0.2181875,FALSE
"CMC-IMH","Shard-chain",4,1,0.2151625,FALSE
"CMC-IMH","Shard-chain",5,1,0.2187875,FALSE
"CMC-IMH","Shard-chain",6,1,0.2165375,FALSE
"CMC-IMH","Shard-chain",7,1,0.2207375,FALSE
"CMC-IMH","Shard-chain",8,1,0.2176125,FALSE
"CMC-IMH","Shard-chain",9,1,0.21725,FALSE
"CMC-IMH","Shard-chain",10,1,0.2171875,FALSE
"CMC-IMH","Shard-chain",1,2,0.21635,FALSE
"CMC-IMH","Shard-chain",2,2,0.217175,FALSE
"CMC-IMH","Shard-chain",3,2,0.21645,FALSE
"CMC-IMH","Shard-chain",4,2,0.21915,FALSE
"CMC-IMH","Shard-chain",5,2,0.217,FALSE
"CMC-IMH","Shard-chain",6,2,0.2189,FALSE
