"Method","Chain","Parameter","Mean","Median","Std_Dev","CrI_95_Lower","CrI_95_Upper","Odds_Ratio"
"CMC-IMH final consensus",1,"(Intercept)",-1.89840301112965,-1.89843473856319,0.012926757849462,-1.92380539951166,-1.87284525060092,0.149807669472376
"CMC-IMH final consensus",1,"road_typedual carriageway",-0.222929154061999,-0.222764582979743,0.0388827829612266,-0.299723273638906,-0.147177501646671,0.800171536189555
"CMC-IMH final consensus",1,"road_typeone way street (from 2005)",-0.0123751532280592,-0.0117261617178077,0.0732872384880046,-0.157015416856881,0.129292400677004,0.987701104091181
"CMC-IMH final consensus",1,"road_typeroundabout",-0.410334245024225,-0.410240969614289,0.0368394161610748,-0.482838691290466,-0.338563621758773,0.663428465409671
"CMC-IMH final consensus",1,"road_typeslip road (from 2005)",-0.747939697301892,-0.746174197835277,0.119970058775296,-0.987923581580082,-0.515489632400046,0.473340774074926
"CMC-IMH final consensus",1,"speed_limit1",0.161286702704733,0.161410945257931,0.0724845307411046,0.0174960744448649,0.301929346594343,1.17502180245489
"CMC-IMH final consensus",1,"speed_limit3",0.182178511354179,0.182250878004639,0.0383613404196203,0.106868765113174,0.257577049242264,1.19982835774888
"CMC-IMH final consensus",1,"speed_limit4",0.394088929123001,0.394481273418198,0.0577457452039642,0.279641705017792,0.505718726956963,1.4830324275839
"CMC-IMH final consensus",1,"speed_limit5",0.537273412294706,0.537313899789544,0.0328741214814981,0.472400834404601,0.601770079985139,1.71133439181706
"CMC-IMH final consensus",1,"speed_limit6",0.386942193385318,0.387524004084635,0.0687594697500223,0.250597948620825,0.519813766047016,1.47247137022775
"CMC-IMH final consensus",2,"(Intercept)",-1.89823434262332,-1.89819604005749,0.0129364747022393,-1.92367161375515,-1.87304881235256,0.149832939439287
"CMC-IMH final consensus",2,"road_typedual carriageway",-0.223619345161569,-0.223474267987667,0.03905857832831,-0.300736505366583,-0.14707044710462,0.799619455459667
"CMC-IMH final consensus",2,"road_typeone way street (from 2005)",-0.0116485246255667,-0.0107795620823525,0.0732661756062086,-0.157201270493914,0.129806574382946,0.988419056775016
"CMC-IMH final consensus",2,"road_typeroundabout",-0.410927488637534,-0.410880433924285,0.0368755207336593,-0.483573213926005,-0.339372512997385,0.663035007429436
"CMC-IMH final consensus",2,"road_typeslip road (from 2005)",-0.748458047299356,-0.746814602978753,0.120090406057918,-0.988957969956274,-0.518215632976484,0.473095481465089
"CMC-IMH final consensus",2,"speed_limit1",0.160070636367244,0.160816577212988,0.0727023846590702,0.0157211566706173,0.300609622053123,1.17359376646434
"CMC-IMH final consensus",2,"speed_limit3",0.182540468888943,0.182578376781216,0.0382733744512819,0.107212823079609,0.257758571823445,1.20026272326959
"CMC-IMH final consensus",2,"speed_limit4",0.393898201415251,0.394445446233952,0.0573955216238532,0.280479962961255,0.505234149083614,1.48274959918093
"CMC-IMH final consensus",2,"speed_limit5",0.537798518107412,0.537795311395821,0.0327192743116154,0.473407380317531,0.602000370642699,1.71223325943334
"CMC-IMH final consensus",2,"speed_limit6",0.389730216240086,0.389938061047393,0.0690324102364474,0.253256082699893,0.523252881645754,1.47658238219567
"CMC-IMH final consensus",3,"(Intercept)",-1.89828403125591,-1.89830790961799,0.0129607118499013,-1.9236724650873,-1.87283067058407,0.149825494630371
"CMC-IMH final consensus",3,"road_typedual carriageway",-0.223060048449349,-0.222961603279627,0.0390844831114517,-0.29994959482298,-0.147129856987654,0.800066805081058
"CMC-IMH final consensus",3,"road_typeone way street (from 2005)",-0.0125188848221697,-0.0119182845932185,0.0733937447462644,-0.15675034603272,0.129667621613182,0.987559150438842
"CMC-IMH final consensus",3,"road_typeroundabout",-0.409161817509103,-0.40920846951602,0.0369172411351219,-0.482556920498479,-0.336880260538039,0.664206743344915
