"Parameter","Full_Data_IMH_Mean","CMC_IMH_Mean","Error","Squared_Error"
"(Intercept)",-1.89807909660008,-1.89885962094908,-0.000780524348998446,6.09218259379448e-07
"road_typedual carriageway",-0.224568569702282,-0.221830898946719,0.00273767075556269,7.49484116586321e-06
"road_typeone way street (from 2005)",-0.0124952236424274,-0.0155687468397221,-0.00307352319729471,9.44654484430869e-06
"road_typeroundabout",-0.410485173242653,-0.409052646793582,0.00143252644907099,2.05213202728795e-06
"road_typeslip road (from 2005)",-0.756089221344047,-0.744153928150354,0.0119352931936926,0.000142451223619404
"speed_limit1",0.171539736783049,0.164334685099469,-0.00720505168357996,5.19127697630584e-05
"speed_limit3",0.181480849549878,0.181809945362594,0.000329095812715924,1.08304053947154e-07
"speed_limit4",0.383998410967884,0.395891349959407,0.0118929389915234,0.000141441997856099
"speed_limit5",0.537860214543406,0.536444765521766,-0.00141544902163981,2.00349593286111e-06
"speed_limit6",0.389318045000008,0.386951720014279,-0.00236632498572897,5.59949393808523e-06
