"Parameter","Mean","Median","Std_Dev","ESS","MCSE","Lower_95_CI","Upper_95_CI"
"(Intercept)",-1.89847876720637,-1.89849598196715,0.0130131882369063,9134.84386732378,0.000136154859874651,-1.92397625559,-1.87308130144471
"road_typedual carriageway",-0.225804534984921,-0.225765587210444,0.0389203338806029,9598.99341004569,0.000397249821263567,-0.302183841705595,-0.14978352583553
"road_typeone way street (from 2005)",-0.0112092862740544,-0.0111138399518696,0.0728991498419531,9183.07346803133,0.000760726305414629,-0.155808966947446,0.13047657803217
"road_typeroundabout",-0.410059973069246,-0.40992124938508,0.0366649632128905,8546.48469250516,0.00039660436895208,-0.482463164803924,-0.33759030910228
"road_typeslip road (from 2005)",-0.783098613114157,-0.781034571694238,0.118232677672864,9565.50763519609,0.00120888089479083,-1.02031968513703,-0.557243639330216
"speed_limit1",0.180730474182836,0.181032338160305,0.0722095754473723,9411.68267817029,0.000744322510434107,0.0377546820164771,0.320504020629718
"speed_limit3",0.181576198224227,0.181523622560304,0.0385108509614413,9199.48763740748,0.000401514556800146,0.105775420072726,0.257005898756193
"speed_limit4",0.388139206349637,0.388571273426416,0.057036854060204,9104.19626401588,0.000597770883921011,0.275246009977055,0.498548297834876
"speed_limit5",0.538448130340142,0.538221285444333,0.0329617616528559,9082.95670129041,0.00034585717733052,0.473198493322042,0.602788138725059
"speed_limit6",0.397824236724411,0.39762525234838,0.0678995037358441,9243.31929887567,0.000706240505595597,0.264208296970788,0.529989793331274
