"Method","Chain","Parameter","Mean","Median","Std_Dev","CrI_95_Lower","CrI_95_Upper","Odds_Ratio"
"CMC-RWMH final consensus",1,"(Intercept)",-1.89808757345052,-1.89807111775406,0.013059235655755,-1.92342706916402,-1.87238164824261,0.149854931909735
"CMC-RWMH final consensus",1,"road_typedual carriageway",-0.224909571306799,-0.224004498313885,0.0388421912205682,-0.303066477711062,-0.150651604130162,0.798588430802511
"CMC-RWMH final consensus",1,"road_typeone way street (from 2005)",-0.0123382620564101,-0.0114137490797901,0.0731246199346697,-0.158501849470968,0.127723258629787,0.987737542214269
"CMC-RWMH final consensus",1,"road_typeroundabout",-0.412811813173078,-0.412474939110277,0.0367392573505666,-0.485185482776474,-0.341791103199958,0.66178681067023
"CMC-RWMH final consensus",1,"road_typeslip road (from 2005)",-0.755999569582305,-0.755777779076978,0.121336102243127,-0.994997059360385,-0.518492890106246,0.469541041141528
"CMC-RWMH final consensus",1,"speed_limit1",0.160209917908316,0.160745301606819,0.0728389989230745,0.0164155388918901,0.299973461130254,1.17375723779673
"CMC-RWMH final consensus",1,"speed_limit3",0.181924000038889,0.182075116646168,0.0384649832568403,0.10488955127963,0.256984383772464,1.19952302671218
"CMC-RWMH final consensus",1,"speed_limit4",0.396452072224875,0.396100156629482,0.0575451467423513,0.284430102034719,0.509492385236534,1.48654118965557
"CMC-RWMH final consensus",1,"speed_limit5",0.538439699981844,0.538470249312307,0.0323388412787004,0.475127150747154,0.60213350869872,1.71333146440102
"CMC-RWMH final consensus",1,"speed_limit6",0.386172673792115,0.386868551292213,0.0699605710962115,0.248561965054323,0.522361199366819,1.47133871051574
"CMC-RWMH final consensus",2,"(Intercept)",-1.89936206890523,-1.89930172851615,0.0127879476041727,-1.9244588985697,-1.87430328461774,0.149664064136042
"CMC-RWMH final consensus",2,"road_typedual carriageway",-0.224344892183606,-0.224225379381499,0.0390925457105167,-0.301344322779145,-0.148174570736353,0.799039504361333
"CMC-RWMH final consensus",2,"road_typeone way street (from 2005)",-0.0103578568767158,-0.00993573580916781,0.0719615448297207,-0.152567333437767,0.129136478279248,0.989695600993964
"CMC-RWMH final consensus",2,"road_typeroundabout",-0.407421050893669,-0.407206999184245,0.0365975016822013,-0.479930041872003,-0.336165408387743,0.665363979216033
