"Parameter","Full_Data_RWMH_Mean","CMC_RWMH_Mean","Error","Squared_Error"
"(Intercept)",-1.89808098468858,-1.89808757345052,-6.58876194514768e-06,4.34117839698263e-11
"road_typedual carriageway",-0.22533855171091,-0.224909571306799,0.000428980404111268,1.84024187111467e-07
"road_typeone way street (from 2005)",-0.0128292356251833,-0.0123382620564101,0.000490973568773203,2.41055045233895e-07
"road_typeroundabout",-0.411265778940176,-0.412811813173078,-0.00154603423290245,2.39022184930626e-06
"road_typeslip road (from 2005)",-0.757082928823394,-0.755999569582305,0.00108335924108893,1.17366724525279e-06
"speed_limit1",0.17118923720611,0.160209917908316,-0.0109793192977941,0.000120545452242913
"speed_limit3",0.181452317406843,0.181924000038889,0.000471682632045889,2.22484505373737e-07
"speed_limit4",0.384107680993278,0.396452072224875,0.0123443912315978,0.000152383994878749
"speed_limit5",0.537563953398413,0.538439699981844,0.000875746583431924,7.66932078392689e-07
"speed_limit6",0.390312046362801,0.386172673792115,-0.00413937257068658,1.71344052789525e-05
