"Parameter","Mean","Median","Std_Dev","ESS","MCSE","CrI_95","Odds_Ratio"
"(Intercept)",-1.89823876000001,-1.89824819235134,0.0128789829690563,9324.47742223333,0.00013337342934173,"(-1.9234, -1.8729)",0.149832277572214
"road_typedual carriageway",-0.223532810141284,-0.223031319300752,0.0390816792335433,9137.87439270779,0.000408837405790395,"(-0.3012, -0.1482)",0.799688653539451
"road_typeone way street (from 2005)",-0.0110355366526129,-0.0106052565429475,0.0734504787335777,9108.76261196892,0.000769599787016127,"(-0.1558, 0.1312)",0.98902513150834
"road_typeroundabout",-0.409939754097392,-0.409661994149748,0.0369230285043303,9103.6302470122,0.000386981327875457,"(-0.4828, -0.338)",0.663690233549061
"road_typeslip road (from 2005)",-0.751747948969421,-0.750227158943752,0.120284785289497,9514.33585787811,0.0012331657618827,"(-0.9925, -0.5198)",0.471541601308506
"speed_limit1",0.159663191499159,0.16020491664711,0.0722912888657089,9216.67219176441,0.000753006798311469,"(0.0169, 0.3001)",1.17311568910868
"speed_limit3",0.182692725643376,0.18260736032647,0.0386208041340877,9014.08046701346,0.000406780941150641,"(0.1067, 0.2586)",1.20044548528932
"speed_limit4",0.396090595826354,0.395978374792896,0.0573601966148581,9358.09452459048,0.000592948421826658,"(0.284, 0.5082)",1.48600393720796
"speed_limit5",0.537736217330463,0.537795586696205,0.0326880789961716,9246.82318881652,0.000339932839593442,"(0.4737, 0.6017)",1.71212658929381
"speed_limit6",0.384465638888341,0.384730900336475,0.0687738482377246,9252.97928955445,0.000714961293907652,"(0.249, 0.5186)",1.46882922647942
