"Method","Shard","Parameter","ESS"
"CMC-RWMH",1,"(Intercept)",10459.9397064823
"CMC-RWMH",1,"road_typedual carriageway",10995.740928533
"CMC-RWMH",1,"road_typeone way street (from 2005)",9980.94689334212
"CMC-RWMH",1,"road_typeroundabout",10632.4406766491
"CMC-RWMH",1,"road_typeslip road (from 2005)",7167.27525133079
"CMC-RWMH",1,"speed_limit1",10349.9012021927
"CMC-RWMH",1,"speed_limit3",9480.69697917106
"CMC-RWMH",1,"speed_limit4",10647.359597156
"CMC-RWMH",1,"speed_limit5",11037.856580263
"CMC-RWMH",1,"speed_limit6",10030.146333159
"CMC-RWMH",2,"(Intercept)",10557.4070301824
"CMC-RWMH",2,"road_typedual carriageway",11453.9604795196
"CMC-RWMH",2,"road_typeone way street (from 2005)",6766.86705468393
"CMC-RWMH",2,"road_typeroundabout",11628.3621833153
"CMC-RWMH",2,"road_typeslip road (from 2005)",8612.05329847262
"CMC-RWMH",2,"speed_limit1",8647.48746922328
"CMC-RWMH",2,"speed_limit3",11084.0155210158
"CMC-RWMH",2,"speed_limit4",12054.2950726889
"CMC-RWMH",2,"speed_limit5",10005.8266094384
"CMC-RWMH",2,"speed_limit6",9295.51821402757
"CMC-RWMH",3,"(Intercept)",9919.93249633714
"CMC-RWMH",3,"road_typedual carriageway",9967.81167249744
"CMC-RWMH",3,"road_typeone way street (from 2005)",10790.372729839
"CMC-RWMH",3,"road_typeroundabout",10239.7249981972
"CMC-RWMH",3,"road_typeslip road (from 2005)",8839.92943612831
"CMC-RWMH",3,"speed_limit1",9182.03494322753
"CMC-RWMH",3,"speed_limit3",10128.0881305745
"CMC-RWMH",3,"speed_limit4",10038.8903598332
"CMC-RWMH",3,"speed_limit5",10123.0822849686
"CMC-RWMH",3,"speed_limit6",10871.5757334507
"CMC-RWMH",4,"(Intercept)",10610.8064131893
"CMC-RWMH",4,"road_typedual carriageway",9361.39621701874
"CMC-RWMH",4,"road_typeone way street (from 2005)",11507.3029479514
"CMC-RWMH",4,"road_typeroundabout",9544.88269620693
"CMC-RWMH",4,"road_typeslip road (from 2005)",7605.12550220858
"CMC-RWMH",4,"speed_limit1",11354.8863508943
"CMC-RWMH",4,"speed_limit3",10325.4755954757
"CMC-RWMH",4,"speed_limit4",11288.2982333777
"CMC-RWMH",4,"speed_limit5",10660.65394865
"CMC-RWMH",4,"speed_limit6",8873.03772038821
"CMC-RWMH",5,"(Intercept)",9656.34953788554
"CMC-RWMH",5,"road_typedual carriageway",11101.6627308143
"CMC-RWMH",5,"road_typeone way street (from 2005)",9867.94612978943
"CMC-RWMH",5,"road_typeroundabout",10595.575597371
"CMC-RWMH",5,"road_typeslip road (from 2005)",9217.66096252894
"CMC-RWMH",5,"speed_limit1",9213.68831145049
"CMC-RWMH",5,"speed_limit3",10654.8463649372
"CMC-RWMH",5,"speed_limit4",8487.84311234164
"CMC-RWMH",5,"speed_limit5",10227.2908836845
"CMC-RWMH",5,"speed_limit6",11969.776939456
"CMC-RWMH",6,"(Intercept)",10103.3062825121
"CMC-RWMH",6,"road_typedual carriageway",10007.3795449547
"CMC-RWMH",6,"road_typeone way street (from 2005)",11030.3782722899
"CMC-RWMH",6,"road_typeroundabout",9146.47504596982
"CMC-RWMH",6,"road_typeslip road (from 2005)",12523.2025142008
"CMC-RWMH",6,"speed_limit1",9403.16101316558
"CMC-RWMH",6,"speed_limit3",10388.6443257224
"CMC-RWMH",6,"speed_limit4",7755.57999909585
"CMC-RWMH",6,"speed_limit5",9972.54839630926
"CMC-RWMH",6,"speed_limit6",10599.7965370138
"CMC-RWMH",7,"(Intercept)",10113.3994855313
"CMC-RWMH",7,"road_typedual carriageway",9319.22963630962
"CMC-RWMH",7,"road_typeone way street (from 2005)",9632.64316356109
"CMC-RWMH",7,"road_typeroundabout",9772.32311236331
"CMC-RWMH",7,"road_typeslip road (from 2005)",10787.4413358994
"CMC-RWMH",7,"speed_limit1",11439.863510911
"CMC-RWMH",7,"speed_limit3",10336.7368558481
"CMC-RWMH",7,"speed_limit4",7575.46337624006
"CMC-RWMH",7,"speed_limit5",10620.4703260518
"CMC-RWMH",7,"speed_limit6",10410.7660169882
"CMC-RWMH",8,"(Intercept)",10882.3649675648
"CMC-RWMH",8,"road_typedual carriageway",9554.32800822234
"CMC-RWMH",8,"road_typeone way street (from 2005)",11701.7816906602
"CMC-RWMH",8,"road_typeroundabout",8765.01105311113
"CMC-RWMH",8,"road_typeslip road (from 2005)",7239.387479705
"CMC-RWMH",8,"speed_limit1",11366.7168267889
"CMC-RWMH",8,"speed_limit3",8765.85758909352
"CMC-RWMH",8,"speed_limit4",12762.2583611701
"CMC-RWMH",8,"speed_limit5",10173.2917181556
"CMC-RWMH",8,"speed_limit6",9686.66925331095
"CMC-RWMH",9,"(Intercept)",9575.84356509181
"CMC-RWMH",9,"road_typedual carriageway",9411.54746934924
"CMC-RWMH",9,"road_typeone way street (from 2005)",8925.63975833307
"CMC-RWMH",9,"road_typeroundabout",9839.8820476623
"CMC-RWMH",9,"road_typeslip road (from 2005)",15126.4123409779
"CMC-RWMH",9,"speed_limit1",9872.94698802846
"CMC-RWMH",9,"speed_limit3",9766.89181814013
"CMC-RWMH",9,"speed_limit4",8887.34185259889
"CMC-RWMH",9,"speed_limit5",8988.60884566026
"CMC-RWMH",9,"speed_limit6",9895.02342440408
"CMC-RWMH",10,"(Intercept)",10571.0188596498
"CMC-RWMH",10,"road_typedual carriageway",10050.7761053907
"CMC-RWMH",10,"road_typeone way street (from 2005)",10505.7991264985
"CMC-RWMH",10,"road_typeroundabout",11681.8543180671
"CMC-RWMH",10,"road_typeslip road (from 2005)",7447.94185385387
"CMC-RWMH",10,"speed_limit1",9893.33151732914
"CMC-RWMH",10,"speed_limit3",10871.2234182288
"CMC-RWMH",10,"speed_limit4",11204.0969907178
"CMC-RWMH",10,"speed_limit5",10167.5938893146
