"Method","Parameter","Rhat","Rhat_Upper_CI"
"CMC-RWMH Shard 1","(Intercept)",1.0000731917536,1.00012486512294
"CMC-RWMH Shard 1","road_typedual carriageway",1.00024007946711,1.0006562610184
"CMC-RWMH Shard 1","road_typeone way street (from 2005)",1.00100753270846,1.00286194106937
"CMC-RWMH Shard 1","road_typeroundabout",1.0005234667871,1.00140979261574
"CMC-RWMH Shard 1","road_typeslip road (from 2005)",1.00016051093772,1.00046974734113
"CMC-RWMH Shard 1","speed_limit1",1.00043533129873,1.00101373716911
"CMC-RWMH Shard 1","speed_limit3",1.00015193714087,1.00042501278549
"CMC-RWMH Shard 1","speed_limit4",1.00019770207498,1.00053161549541
"CMC-RWMH Shard 1","speed_limit5",1.00001068201596,1.00004094704792
"CMC-RWMH Shard 1","speed_limit6",1.00039529410257,1.00111477753651
"CMC-RWMH Shard 2","(Intercept)",1.00007059040326,1.00011880407038
"CMC-RWMH Shard 2","road_typedual carriageway",1.00004891921457,1.00008601027706
"CMC-RWMH Shard 2","road_typeone way street (from 2005)",1.000835904473,1.00253791552465
"CMC-RWMH Shard 2","road_typeroundabout",1.00007620921736,1.00013316523223
"CMC-RWMH Shard 2","road_typeslip road (from 2005)",1.00014230874034,1.00032234458252
"CMC-RWMH Shard 2","speed_limit1",1.00012265177181,1.00023886958655
"CMC-RWMH Shard 2","speed_limit3",1.00017542221208,1.00052116791086
"CMC-RWMH Shard 2","speed_limit4",1.00028591065565,1.00087511977396
"CMC-RWMH Shard 2","speed_limit5",1.0004432482286,1.00133935098828
"CMC-RWMH Shard 2","speed_limit6",1.00044161448538,1.0013396942948
"CMC-RWMH Shard 3","(Intercept)",1.00042908355822,1.001298635695
"CMC-RWMH Shard 3","road_typedual carriageway",1.00021880129618,1.00064705361242
"CMC-RWMH Shard 3","road_typeone way street (from 2005)",1.00049901853667,1.00149876616395
"CMC-RWMH Shard 3","road_typeroundabout",1.00017332092705,1.00043757291452
"CMC-RWMH Shard 3","road_typeslip road (from 2005)",1.00040356380877,1.00125462839134
"CMC-RWMH Shard 3","speed_limit1",1.0001516486388,1.00041908555435
"CMC-RWMH Shard 3","speed_limit3",1.00042132126581,1.00118517837927
"CMC-RWMH Shard 3","speed_limit4",1.00016258122994,1.00039957567016
"CMC-RWMH Shard 3","speed_limit5",1.00085084506516,1.00253077824645
"CMC-RWMH Shard 3","speed_limit6",1.00019515383685,1.00048083529759
"CMC-RWMH Shard 4","(Intercept)",1.00020741706941,1.00057841949731
"CMC-RWMH Shard 4","road_typedual carriageway",1.000485750936,1.00128763016632
"CMC-RWMH Shard 4","road_typeone way street (from 2005)",1.00040369672805,1.00085426069296
"CMC-RWMH Shard 4","road_typeroundabout",1.00013428221488,1.00037869119205
"CMC-RWMH Shard 4","road_typeslip road (from 2005)",1.00089747135654,1.00270352597073
"CMC-RWMH Shard 4","speed_limit1",1.00014395145986,1.00035584269076
"CMC-RWMH Shard 4","speed_limit3",1.00005400276821,1.00015202023852
"CMC-RWMH Shard 4","speed_limit4",1.00038618050003,1.00105034003671
"CMC-RWMH Shard 4","speed_limit5",1.00023960298928,1.00067700426423
"CMC-RWMH Shard 4","speed_limit6",1.00049839997113,1.0014923769711
"CMC-RWMH Shard 5","(Intercept)",1.00052984293088,1.00153845610836
"CMC-RWMH Shard 5","road_typedual carriageway",1.00031803357186,1.00089470386708
"CMC-RWMH Shard 5","road_typeone way street (from 2005)",1.00042485027098,1.00097912716389
"CMC-RWMH Shard 5","road_typeroundabout",1.00011504673257,1.00036289732102
"CMC-RWMH Shard 5","road_typeslip road (from 2005)",1.00025469665976,1.00068339484846
"CMC-RWMH Shard 5","speed_limit1",1.00067422668915,1.00209777790188
"CMC-RWMH Shard 5","speed_limit3",1.00058268047275,1.00157825811572
"CMC-RWMH Shard 5","speed_limit4",1.00003870842125,1.00009103866918
"CMC-RWMH Shard 5","speed_limit5",1.00014142945825,1.00042082463499
"CMC-RWMH Shard 5","speed_limit6",1.00005470613878,1.0001417029625
"CMC-RWMH Shard 6","(Intercept)",1.00039218899455,1.00107407553744
"CMC-RWMH Shard 6","road_typedual carriageway",1.00036930752758,1.00114019644738
"CMC-RWMH Shard 6","road_typeone way street (from 2005)",1.00019178251247,1.00055173903274
"CMC-RWMH Shard 6","road_typeroundabout",1.00014354586125,1.00039181361939
"CMC-RWMH Shard 6","road_typeslip road (from 2005)",1.00011016803842,1.00029558509369
"CMC-RWMH Shard 6","speed_limit1",1.00017969947654,1.00046184916596
"CMC-RWMH Shard 6","speed_limit3",1.00028269536906,1.0007066984612
"CMC-RWMH Shard 6","speed_limit4",1.00034640740848,1.00064053717542
"CMC-RWMH Shard 6","speed_limit5",1.00028720381409,1.00073595136626
"CMC-RWMH Shard 6","speed_limit6",1.00019185631818,1.00044854868653
"CMC-RWMH Shard 7","(Intercept)",1.00007626961258,1.00017708074772
"CMC-RWMH Shard 7","road_typedual carriageway",1.0002140984801,1.00061585749814
"CMC-RWMH Shard 7","road_typeone way street (from 2005)",1.000247698161,1.00057983610483
"CMC-RWMH Shard 7","road_typeroundabout",1.00031312739914,1.00082805394691
"CMC-RWMH Shard 7","road_typeslip road (from 2005)",1.00020749070429,1.00057305216888
"CMC-RWMH Shard 7","speed_limit1",1.0000738356712,1.00019364264294
"CMC-RWMH Shard 7","speed_limit3",1.0003543347097,1.00063817646034
"CMC-RWMH Shard 7","speed_limit4",1.00105212018375,1.00308101061723
"CMC-RWMH Shard 7","speed_limit5",1.00025350366925,1.00066925917376
"CMC-RWMH Shard 7","speed_limit6",1.00003801517677,1.00006961307955
"CMC-RWMH Shard 8","(Intercept)",1.00014449999832,1.00035478736579
"CMC-RWMH Shard 8","road_typedual carriageway",1.00004969423867,1.00011627206371
"CMC-RWMH Shard 8","road_typeone way street (from 2005)",1.00047612800111,1.00144321185508
"CMC-RWMH Shard 8","road_typeroundabout",1.00011228505926,1.00011370883358
"CMC-RWMH Shard 8","road_typeslip road (from 2005)",1.00026876346429,1.00075856997819
"CMC-RWMH Shard 8","speed_limit1",1.00038019617532,1.00110418144762
"CMC-RWMH Shard 8","speed_limit3",1.00039875008547,1.00103807392574
"CMC-RWMH Shard 8","speed_limit4",1.00057136254983,1.00170204136495
"CMC-RWMH Shard 8","speed_limit5",1.00012565167076,1.00024212860373
"CMC-RWMH Shard 8","speed_limit6",1.00047952107118,1.00148434605108
"CMC-RWMH Shard 9","(Intercept)",1.00063056220986,1.00196053010638
"CMC-RWMH Shard 9","road_typedual carriageway",1.00012147716866,1.00021218096397
"CMC-RWMH Shard 9","road_typeone way street (from 2005)",1.00019553431906,1.00058872345952
"CMC-RWMH Shard 9","road_typeroundabout",1.00027252083145,1.00082654506281
"CMC-RWMH Shard 9","road_typeslip road (from 2005)",1.00054004701644,1.00157570270714
"CMC-RWMH Shard 9","speed_limit1",1.00016017820387,1.00044227752949
"CMC-RWMH Shard 9","speed_limit3",1.00009653243463,1.00029545826318
"CMC-RWMH Shard 9","speed_limit4",1.00045035002751,1.00135012976229
"CMC-RWMH Shard 9","speed_limit5",1.00062479780465,1.00182993820043
"CMC-RWMH Shard 9","speed_limit6",1.00007721547188,1.00022296132965
"CMC-RWMH Shard 10","(Intercept)",1.00016023734547,1.00037648513154
"CMC-RWMH Shard 10","road_typedual carriageway",1.00032784751448,1.00101533683634
"CMC-RWMH Shard 10","road_typeone way street (from 2005)",1.00044620038829,1.00078528900971
"CMC-RWMH Shard 10","road_typeroundabout",1.00041120483997,1.00119568211554
"CMC-RWMH Shard 10","road_typeslip road (from 2005)",1.00009626090249,1.00030057039958
"CMC-RWMH Shard 10","speed_limit1",1.00031134528426,1.00079917925792
"CMC-RWMH Shard 10","speed_limit3",1.00025410855706,1.00052926079457
"CMC-RWMH Shard 10","speed_limit4",1.00044503619313,1.00119330057189
"CMC-RWMH Shard 10","speed_limit5",1.00101171132632,1.00281404487369
"CMC-RWMH Shard 10","speed_limit6",1.00010179736827,1.00029230022568
"CMC-IMH Shard 1","(Intercept)",0.999999890923606,1.00000482272507
"CMC-IMH Shard 1","road_typedual carriageway",1.00002146251395,1.0000688248948
"CMC-IMH Shard 1","road_typeone way street (from 2005)",1.00001192138509,1.00002445302755
