"road_type","speed_limit","accident_severity_binary"
"single carriageway","2","serious_fatal"
"single carriageway","2","slight"
"single carriageway","2","slight"
"single carriageway","2","slight"
"one way street (from 2005)","2","slight"
"single carriageway","2","slight"
"dual carriageway","2","slight"
"single carriageway","2","slight"
"single carriageway","2","slight"
"single carriageway","2","slight"
"single carriageway","2","slight"
"single carriageway","2","slight"
"single carriageway","2","slight"
"single carriageway","2","slight"
"single carriageway","2","slight"
"one way street (from 2005)","2","slight"
"single carriageway","2","slight"
"single carriageway","2","slight"
"single carriageway","2","serious_fatal"
"dual carriageway","2","slight"
