"Parameter","Full_Data_RWMH_ESS","Full_Data_RWMH_MCSE","Full_Data_IMH_ESS","Full_Data_IMH_MCSE","CMC_RWMH_ESS","CMC_RWMH_MCSE","CMC_IMH_ESS","CMC_IMH_MCSE"
"(Intercept)",2234.46079221073,0.000274245679615989,8569.03757954262,0.00014249300518139,2255.37608277669,0.000274984537239835,9198.17360190655,0.000134134082423291
"road_typedual carriageway",2234.29867358202,0.000827482442779133,8699.33552478473,0.00041787679170412,2326.75374594575,0.000805245879298253,9073.58966091746,0.000412354625624667
"road_typeone way street (from 2005)",2292.70371706611,0.0015152478940871,8956.10447743038,0.000773110427090048,2226.01833281183,0.00154988420901728,8711.5880113512,0.000784536152815593
"road_typeroundabout",2255.4543743877,0.000768913074106793,8928.45480845659,0.000387297283156848,2342.20550716155,0.000759133005970064,8132.26424781598,0.000408149493619063
"road_typeslip road (from 2005)",2312.78414914894,0.00242937139114164,9090.52699789274,0.00122324606793811,2264.81118017046,0.00254961167753351,9069.95404846507,0.00126122734406256
"speed_limit1",2249.22392003723,0.00151145221863681,9507.12132118631,0.000736360917747204,2270.60351700185,0.00152859809934468,8839.21055360332,0.000771915766545345
"speed_limit3",2264.78945165949,0.000808396824454915,8632.2725277941,0.000411999091583435,2253.01209779098,0.000810370803960145,8940.98107563933,0.000403949952042229
"speed_limit4",2358.80345271976,0.00115946824249,8500.23300093224,0.000620997915036827,2332.39833318521,0.00119153647302784,8139.08180864773,0.000639164859005672
"speed_limit5",2275.44392072507,0.000679916919898415,8898.11371899797,0.000348999378074173,2348.15863010281,0.000667360869917261,8737.70360638252,0.000351654364294667
"speed_limit6",2286.06379725762,0.00142870549403564,9147.64826409104,0.000710237836607092,2195.71601688422,0.00149301874740195,8717.07911637294,0.000736680181202735
