"Object","Exists"
"accident_data",FALSE
"data_used",FALSE
"logistic_model",FALSE
"glm_odds_ratios",FALSE
"cov_beta",FALSE
"cor_beta",FALSE
"y",FALSE
"X",TRUE
"param_names",FALSE
"prior_sd_value",FALSE
"rwmh_result",FALSE
"imh_result",FALSE
"cmc_rwmh_acceptance_rates",FALSE
"cmc_imh_acceptance_rates",FALSE
"runtime_table",FALSE
"rwmh_post_stats_table",FALSE
"imh_post_stats_table",FALSE
"cmc_rwmh_post_stats_table",FALSE
"cmc_imh_post_stats_table",FALSE
"rwmh_post_samples",FALSE
"imh_post_samples",FALSE
"cmc_rwmh_samples",FALSE
"cmc_imh_samples",FALSE
