"","(Intercept)","road_typedual carriageway","road_typeone way street (from 2005)","road_typeroundabout","road_typeslip road (from 2005)","speed_limit1","speed_limit3","speed_limit4","speed_limit5","speed_limit6"
"(Intercept)",0.000167152488738908,-0.000109262588194542,-0.000152345881261919,-0.000114705221940483,-9.74361666183797e-05,-0.00015012515057823,-0.00011859052866766,-0.000117661741699411,-0.000148555677047374,-5.83139155326761e-05
"road_typedual carriageway",-0.000109262588194542,0.00151518751727549,0.000108248988757086,0.000250386080250754,0.000638029698031198,6.49989969806479e-05,-0.000326802667831433,-0.000340779698619796,1.14793546449378e-05,-0.00103240703252199
"road_typeone way street (from 2005)",-0.000152345881261919,0.000108248988757086,0.00526664110447222,0.000112839917715239,9.76362034440002e-05,-0.000250763759664945,9.06077881723398e-05,9.89202782099962e-05,0.00012344553648031,4.45375016180496e-05
"road_typeroundabout",-0.000114705221940483,0.000250386080250754,0.000112839917715239,0.00135428386130155,0.000322843894002903,6.10423637870283e-05,-0.000181731515586048,-0.00017783138732867,-4.91203943537309e-05,-0.000371434767190354
"road_typeslip road (from 2005)",-9.74361666183797e-05,0.000638029698031198,9.76362034440002e-05,0.000322843894002903,0.0137916145325721,5.40056092462308e-05,-0.000210744236892596,-0.000454245692986645,-0.000117254483566299,-0.00218863356617759
"speed_limit1",-0.00015012515057823,6.49989969806479e-05,-0.000250763759664945,6.10423637870283e-05,5.40056092462308e-05,0.00514687503730318,0.000123400215978663,0.000122245732586263,0.000140605001202246,8.73687280260907e-05
"speed_limit3",-0.00011859052866766,-0.000326802667831433,9.06077881723398e-05,-0.000181731515586048,-0.000210744236892596,0.000123400215978663,0.00146810217569602,0.000238030435166415,0.000154366840165436,0.00040053955761273
"speed_limit4",-0.000117661741699411,-0.000340779698619796,9.89202782099962e-05,-0.00017783138732867,-0.000454245692986645,0.000122245732586263,0.000238030435166415,0.00323811941303656,0.000156259599311387,0.000439807817789583
"speed_limit5",-0.000148555677047374,1.14793546449378e-05,0.00012344553648031,-4.91203943537309e-05,-0.000117254483566299,0.000140605001202246,0.000154366840165436,0.000156259599311387,0.00106686884007574,0.000166262151903372
"speed_limit6",-5.83139155326761e-05,-0.00103240703252199,4.45375016180496e-05,-0.000371434767190354,-0.00218863356617759,8.73687280260907e-05,0.00040053955761273,0.000439807817789583,0.000166262151903372,0.00467941040318184
