"Parameter","Estimate","Std_Error","Z_Value","P_Value","Odds_Ratio"
"(Intercept)",-1.89811650187044,0.0129287466035539,-146.813651784982,0,0.14985059690604
"road_typedual carriageway",-0.224983757779892,0.0389254096609848,-5.77986872172588,7.47589371198321e-09,0.79852918854089
"road_typeone way street (from 2005)",-0.0109369307090215,0.0725716274068056,-0.150705325205313,0.880208172311536,0.989122660073038
"road_typeroundabout",-0.410629557858081,0.0368005959367719,-11.1582312026576,6.52773876124031e-29,0.663232575395331
"road_typeslip road (from 2005)",-0.755688129469953,0.117437704901672,-6.43479988052114,1.2363611363487e-10,0.469687297830053
"speed_limit1",0.173187670993498,0.0717417245213912,2.41404387960954,0.0157765622592172,1.18908924170459
"speed_limit3",0.182469033941921,0.0383158214801147,4.76223729240986,1.91458358430591e-06,1.20017698562791
"speed_limit4",0.385328168343833,0.0569044762126545,6.77149134812955,1.27461584998057e-11,1.4700966814824
"speed_limit5",0.538377510367088,0.0326629582260355,16.4828153849809,4.87603299781099e-61,1.71322491629043
"speed_limit6",0.392476311204375,0.0684062161150713,5.73743635438277,9.61203823677393e-09,1.48064279022115
