"Method","Chain","Parameter","Mean","Median","Std_Dev","CrI_95_Lower","CrI_95_Upper","Odds_Ratio"
"Full-data IMH",1,"(Intercept)",-1.89814408317004,-1.89813076696965,0.0130004453740121,-1.92359183110536,-1.8727719035209,0.149846463888829
"Full-data IMH",1,"road_typedual carriageway",-0.224944150950351,-0.224756112581326,0.038934370384065,-0.301888442209342,-0.149441844331638,0.79856081637668
"Full-data IMH",1,"road_typeone way street (from 2005)",-0.0126161958749942,-0.0116434444008076,0.072718724249138,-0.156689389774504,0.12775799608504,0.987463054693852
"Full-data IMH",1,"road_typeroundabout",-0.410888620998568,-0.41061517042605,0.0368255086954345,-0.484121936527443,-0.339315251688177,0.663060778535554
"Full-data IMH",1,"road_typeslip road (from 2005)",-0.757516553641425,-0.756113113354018,0.117686330300833,-0.990549688734685,-0.530824922558882,0.468829294857389
"Full-data IMH",1,"speed_limit1",0.171363023397758,0.171999390935075,0.0715112785114112,0.0285581941527115,0.309212901603995,1.18692155111572
"Full-data IMH",1,"speed_limit3",0.181777839842592,0.181823268439778,0.0382791751173656,0.106619120514343,0.256790175748724,1.1993477170031
"Full-data IMH",1,"speed_limit4",0.383655634518495,0.383863561642623,0.0569163957744276,0.271580414585357,0.494952898239457,1.46763995011197
"Full-data IMH",1,"speed_limit5",0.537914745046025,0.538043704307671,0.0327489612839234,0.473937027192449,0.6019520870332,1.71243227862874
"Full-data IMH",1,"speed_limit6",0.390304490073794,0.390963169658164,0.0685294577567879,0.253995201460092,0.52326819281403,1.47743058834906
"Full-data IMH",2,"(Intercept)",-1.89809449791829,-1.89806625512404,0.0129492990691529,-1.92353661343028,-1.87279939866057,0.149853894247681
"Full-data IMH",2,"road_typedual carriageway",-0.22508553423295,-0.224949640473091,0.0389061007606852,-0.301769527002489,-0.149575919793797,0.798447921208038
"Full-data IMH",2,"road_typeone way street (from 2005)",-0.0128921706904654,-0.0124668419813196,0.0724398275202641,-0.156287003989743,0.128313706050019,0.987190577359718
"Full-data IMH",2,"road_typeroundabout",-0.410663869766247,-0.410566278813811,0.036894067945719,-0.483230274535221,-0.338771586130616,0.663209819010521
"Full-data IMH",2,"road_typeslip road (from 2005)",-0.757754441681548,-0.755733321414226,0.117329312332145,-0.99204216310895,-0.531895299471594,0.468717779239925
"Full-data IMH",2,"speed_limit1",0.171128919384642,0.171784461100533,0.0716878923450719,0.0291110135471893,0.310638221041022,1.18664372053924
"Full-data IMH",2,"speed_limit3",0.181732545685945,0.181741332246467,0.0383863759429507,0.105942572160984,0.257379323298175,1.19929339478998
"Full-data IMH",2,"speed_limit4",0.383652875168265,0.384033733455752,0.0569847217581771,0.271592640382458,0.494762058031457,1.46763590038492
"Full-data IMH",2,"speed_limit5",0.53792533269311,0.538058320168411,0.0327784819462707,0.473519512200062,0.601575032411724,1.71245040935335
"Full-data IMH",2,"speed_limit6",0.39033580449252,0.390475965725668,0.0683233489333916,0.256212739903956,0.523223724108307,1.47747685395353
"Full-data IMH",3,"(Intercept)",-1.89802699282669,-1.89798609167432,0.0128823898152402,-1.92346803404145,-1.87284262054614,0.149864010489984
"Full-data IMH",3,"road_typedual carriageway",-0.225021325727336,-0.225007749466068,0.0388790953413388,-0.301703526854801,-0.148830119905755,0.798499190001798
"Full-data IMH",3,"road_typeone way street (from 2005)",-0.0131788128521798,-0.0126989174932016,0.0725100435588078,-0.156169461330723,0.128867958788336,0.986907647470355
"Full-data IMH",3,"road_typeroundabout",-0.410730286010646,-0.410571032671961,0.0367719605304144,-0.483410670724086,-0.339225447054651,0.66316577256781
"Full-data IMH",3,"road_typeslip road (from 2005)",-0.758071549474103,-0.756495258348646,0.117754823461134,-0.993568389172196,-0.530939607403148,0.468569168743638
"Full-data IMH",3,"speed_limit1",0.171439693959356,0.171774294438753,0.0716618661843235,0.0306563622435501,0.311797302716749,1.18701255654629
"Full-data IMH",3,"speed_limit3",0.181815408163492,0.181880213945991,0.0381307392620289,0.106788405277151,0.256529413269476,1.19939277532938
"Full-data IMH",3,"speed_limit4",0.383878266623438,0.383779142331666,0.0570028933472171,0.272078176985307,0.495652115076019,1.46796673025788
"Full-data IMH",3,"speed_limit5",0.537801116855771,0.537831483794725,0.0327267317892439,0.47367946446057,0.601842945294471,1.71223770910249
