"Parameter","Mean","Median","Std_Dev","ESS","MCSE","CrI_95","Odds_Ratio"
"(Intercept)",-1.89799619782296,-1.89797035737345,0.0129665082654552,8949.79807018919,0.000137061797438861,"(-1.9235, -1.8727)",0.149868625623807
"road_typedual carriageway",-0.225896198315426,-0.225810578115143,0.0391856284368948,9063.45619844163,0.000411604293222034,"(-0.3029, -0.1497)",0.797800910446213
"road_typeone way street (from 2005)",-0.012771970497254,-0.0121061340580634,0.072270756009849,9203.64306709062,0.000753325578882367,"(-0.1549, 0.1285)",0.987309244989647
"road_typeroundabout",-0.411066465929847,-0.410689069677417,0.0367676131519733,9135.29147559305,0.000384684097437735,"(-0.4837, -0.3397)",0.662942867022255
"road_typeslip road (from 2005)",-0.757953378269691,-0.756247998846515,0.117976715444498,8974.01039572468,0.00124538323991219,"(-0.9957, -0.5325)",0.468624543398439
"speed_limit1",0.169591585621911,0.170315918901297,0.0718049835564835,8952.32961572859,0.000758903498729047,"(0.026, 0.309)",1.184820854619
"speed_limit3",0.181523669244904,0.181755948814465,0.0381743050593743,9107.0051438113,0.000400021513595695,"(0.1066, 0.2558)",1.19904291681429
"speed_limit4",0.384267692986916,0.384453850164983,0.057210267873771,8968.99270332296,0.000604090694581379,"(0.2719, 0.4961)",1.4685385065285
"speed_limit5",0.537796331138105,0.537846563533377,0.0326908257475132,9110.96899868416,0.000342486617449907,"(0.474, 0.6018)",1.71222951483585
"speed_limit6",0.39096728614798,0.391559566125502,0.0681272644471963,9168.79607641693,0.000711483436364452,"(0.2559, 0.5238)",1.47841014813123
