"Method","Parameter","Rhat","Rhat_Upper_CI"
"Full-data RWMH","(Intercept)",1.00018258543505,1.00048898976988
"Full-data RWMH","road_typedual carriageway",1.00033336180302,1.00087031045854
"Full-data RWMH","road_typeone way street (from 2005)",1.00012214984122,1.00030652426923
"Full-data RWMH","road_typeroundabout",1.0002774323868,1.00084335621711
"Full-data RWMH","road_typeslip road (from 2005)",1.00036061325678,1.00070099455196
"Full-data RWMH","speed_limit1",1.00034355922992,1.00103667320229
"Full-data RWMH","speed_limit3",1.00025314768492,1.00077206783025
"Full-data RWMH","speed_limit4",1.00081502855177,1.00237511108859
"Full-data RWMH","speed_limit5",1.00043827196427,1.00130320829538
"Full-data RWMH","speed_limit6",1.0002626577989,1.00078513055025
"Full-data IMH","(Intercept)",1.00005588320181,1.00006690665544
"Full-data IMH","road_typedual carriageway",1.00013962616905,1.00042668483452
"Full-data IMH","road_typeone way street (from 2005)",1.00019666295998,1.00061252000732
"Full-data IMH","road_typeroundabout",1.0001337523831,1.00040448809024
"Full-data IMH","road_typeslip road (from 2005)",1.00002252783276,1.00002581469594
"Full-data IMH","speed_limit1",1.00007673731584,1.00023222462789
"Full-data IMH","speed_limit3",1.00007014589323,1.00008285342169
"Full-data IMH","speed_limit4",1.00015836881518,1.00044920425425
"Full-data IMH","speed_limit5",1.00003174120248,1.00006778108104
"Full-data IMH","speed_limit6",1.00004914453728,1.00016093943055
"CMC-RWMH","(Intercept)",1.00309676635972,1.00949555927443
"CMC-RWMH","road_typedual carriageway",1.00070600223312,1.00219542892367
"CMC-RWMH","road_typeone way street (from 2005)",1.00089691532116,1.00254520784789
"CMC-RWMH","road_typeroundabout",1.00235132227293,1.0072598973263
"CMC-RWMH","road_typeslip road (from 2005)",1.00093897477603,1.00280867202481
"CMC-RWMH","speed_limit1",1.00070027205048,1.00214928200675
"CMC-RWMH","speed_limit3",1.00233375809214,1.00707172754636
"CMC-RWMH","speed_limit4",1.00060991554244,1.00187123898055
"CMC-RWMH","speed_limit5",1.00116524083728,1.00353604225119
"CMC-RWMH","speed_limit6",1.00255821989111,1.00777833076303
"CMC-IMH","(Intercept)",1.00038002070451,1.00118414576601
"CMC-IMH","road_typedual carriageway",1.00032577882085,1.00102471065824
"CMC-IMH","road_typeone way street (from 2005)",1.00187039937914,1.00577872125149
"CMC-IMH","road_typeroundabout",1.00016286651725,1.00050725518796
"CMC-IMH","road_typeslip road (from 2005)",1.00022014209761,1.00068466345966
"CMC-IMH","speed_limit1",1.00125671584768,1.00391004447973
"CMC-IMH","speed_limit3",1.00043255626864,1.00130033053789
"CMC-IMH","speed_limit4",1.00119366117435,1.00370676381067
"CMC-IMH","speed_limit5",1.00017611666951,1.00050841917346
"CMC-IMH","speed_limit6",1.00055704980982,1.00174136059307
