"Parameter","Full_RWMH_Odds_Ratio","Full_RWMH_Lower_95_OR","Full_RWMH_Upper_95_OR","Full_IMH_Odds_Ratio","Full_IMH_Lower_95_OR","Full_IMH_Upper_95_OR","CMC_RWMH_Odds_Ratio","CMC_RWMH_Lower_95_OR","CMC_RWMH_Upper_95_OR","CMC_IMH_Odds_Ratio","CMC_IMH_Lower_95_OR","CMC_IMH_Upper_95_OR"
"(Intercept)",0.149849567924505,0.146202079466129,0.15359491469939,0.149859603513454,0.146080682703123,0.153769143224473,0.149892201833178,0.146200441378279,0.153629511427437,0.149835980686367,0.146077312770582,0.153682190319873
"road_typedual carriageway",0.798530766954869,0.739922552602045,0.863266374653902,0.798495296366737,0.739000374854122,0.861574679328638,0.79808548769212,0.739026016026459,0.861841025465972,0.797687129863546,0.738667602318502,0.861041104965778
"road_typeone way street (from 2005)",0.98781592006568,0.85498577162764,1.1369657024312,0.987547812078421,0.853621550530247,1.13671058187895,0.989178314324499,0.858057552207461,1.13935553397048,0.991223060070265,0.857519892115422,1.14197409284364
"road_typeroundabout",0.662700382722304,0.616347127366693,0.711015727330631,0.663184829419694,0.616636426452444,0.711577606113679,0.660651329495838,0.613896737087467,0.709785252937644,0.663020108932281,0.616579652189084,0.712405867290226
"road_typeslip road (from 2005)",0.468899679149868,0.370532756655565,0.586746152144526,0.468630954994987,0.37075778627396,0.587298886228276,0.458743415935714,0.362505894807735,0.57838094717567,0.461592923412141,0.363959800080565,0.579251588653831
"speed_limit1",1.18563508287335,1.03000019757004,1.35913985422408,1.18731230965418,1.0288813058878,1.36425318368988,1.19390234023437,1.03506662638719,1.37588394522475,1.19634248951956,1.0366040458239,1.37624286316345
"speed_limit3",1.19989430156927,1.11232253065354,1.29258817728572,1.19925461247924,1.10988005553464,1.29263044929476,1.19454772602186,1.10889267718524,1.28781663105693,1.1983985822809,1.11136099836002,1.2909548696731
"speed_limit4",1.4673252350157,1.31106749810551,1.63347468114872,1.46849743843709,1.30991513471552,1.63968266886759,1.47049193097293,1.31198072080208,1.64208746768164,1.47467188606836,1.3177875145125,1.64698570668071
"speed_limit5",1.71190831114509,1.60601967464414,1.82355761554598,1.71247150161395,1.60492907115955,1.82712136224046,1.70905864735735,1.6023519539674,1.82313229940254,1.71397475784134,1.60705402668598,1.82861049978724
"speed_limit6",1.47576758036676,1.28939166920404,1.68519946500536,1.47715104453983,1.29326204540893,1.68898518304626,1.47474296504055,1.28058974910535,1.68853640294563,1.48195651346452,1.29440914363366,1.69375438425094
