"","(Intercept)","road_typedual carriageway","road_typeone way street (from 2005)","road_typeroundabout","road_typeslip road (from 2005)","speed_limit1","speed_limit3","speed_limit4","speed_limit5","speed_limit6"
"(Intercept)",0.000376093099662542,-0.000245840823437719,-0.000342778232839318,-0.000258086749366087,-0.000219231374891354,-0.000337781588801017,-0.000266828689502234,-0.000264738918823675,-0.000334250273356592,-0.000131206309948521
"road_typedual carriageway",-0.000245840823437719,0.00340917191386985,0.000243560224703444,0.000563368680564197,0.0014355668205702,0.000146247743206458,-0.000735306002620725,-0.000766754321894542,2.582854795111e-05,-0.00232291582317448
"road_typeone way street (from 2005)",-0.000342778232839318,0.000243560224703444,0.0118499424850625,0.000253889814859288,0.000219681457749,-0.000564218459246126,0.000203867523387765,0.000222570625972491,0.000277752457080697,0.000100209378640612
"road_typeroundabout",-0.000258086749366087,0.000563368680564197,0.000253889814859288,0.0030471386879285,0.000726398761506533,0.000137345318520814,-0.000408895910068607,-0.000400120621489507,-0.000110520887295895,-0.000835728226178297
"road_typeslip road (from 2005)",-0.000219231374891354,0.0014355668205702,0.000219681457749,0.000726398761506533,0.0310311326982872,0.000121512620804019,-0.000474174533008342,-0.00102205280921995,-0.000263822588024172,-0.00492442552389959
"speed_limit1",-0.000337781588801017,0.000146247743206458,-0.000564218459246126,0.000137345318520814,0.000121512620804019,0.0115804688339322,0.000277650485951993,0.000275052898319093,0.000316361252705054,0.000196579638058704
"speed_limit3",-0.000266828689502234,-0.000735306002620725,0.000203867523387765,-0.000408895910068607,-0.000474174533008342,0.000277650485951993,0.00330322989531604,0.000535568479124434,0.00034732539037223,0.000901214004628642
"speed_limit4",-0.000264738918823675,-0.000766754321894542,0.000222570625972491,-0.000400120621489507,-0.00102205280921995,0.000275052898319093,0.000535568479124434,0.00728576867933226,0.000351584098450621,0.000989567590026562
"speed_limit5",-0.000334250273356592,2.582854795111e-05,0.000277752457080697,-0.000110520887295895,-0.000263822588024172,0.000316361252705054,0.00034732539037223,0.000351584098450621,0.00240045489017042,0.000374089841782587
"speed_limit6",-0.000131206309948521,-0.00232291582317448,0.000100209378640612,-0.000835728226178297,-0.00492442552389959,0.000196579638058704,0.000901214004628642,0.000989567590026562,0.000374089841782587,0.0105286734071592
