"","(Intercept)","road_typedual carriageway","road_typeone way street (from 2005)","road_typeroundabout","road_typeslip road (from 2005)","speed_limit1","speed_limit3","speed_limit4","speed_limit5","speed_limit6"
"(Intercept)",9.46818557212669e-05,-6.18907004569162e-05,-8.62948009820014e-05,-6.49736259159673e-05,-5.5191742219315e-05,-8.50368902935326e-05,-6.71744190585091e-05,-6.66483169682144e-05,-8.41478777067145e-05,-3.30313343143291e-05
"road_typedual carriageway",-6.18907004569162e-05,0.000858262817285528,6.1316557191564e-05,0.000141828691297237,0.000361405542152792,3.68180318497182e-05,-0.000185114103166437,-0.000193031252486197,6.50236564507856e-06,-0.000584796639501757
"road_typeone way street (from 2005)",-8.62948009820014e-05,6.1316557191564e-05,0.00298323618721724,6.391704299062e-05,5.53050510788195e-05,-0.000142042624024611,5.13238755323402e-05,5.60324023892702e-05,6.99244896839067e-05,2.5227822416528e-05
"road_typeroundabout",-6.49736259159673e-05,0.000141828691297237,6.391704299062e-05,0.000767120550395652,0.000182871695319005,3.45768365435243e-05,-0.000102939999688561,-0.000100730811038452,-2.78237561777273e-05,-0.000210395509527304
"road_typeslip road (from 2005)",-5.5191742219315e-05,0.000361405542152792,5.53050510788195e-05,0.000182871695319005,0.00781212213583014,3.0590937301435e-05,-0.000119373965545442,-0.000257302930335355,-6.64176296712943e-05,-0.00123972959722564
"speed_limit1",-8.50368902935326e-05,3.68180318497182e-05,-0.000142042624024611,3.45768365435243e-05,3.0590937301435e-05,0.00291539589613001,6.98988183389541e-05,6.92448727661631e-05,7.96442968810003e-05,4.94891423030988e-05
"speed_limit3",-6.71744190585091e-05,-0.000185114103166437,5.13238755323402e-05,-0.000102939999688561,-0.000119373965545442,6.98988183389541e-05,0.000831591796401253,0.000134829959695664,8.74395529433093e-05,0.000226881627014155
"speed_limit4",-6.66483169682144e-05,-0.000193031252486197,5.60324023892702e-05,-0.000100730811038452,-0.000257302930335355,6.92448727661631e-05,0.000134829959695664,0.00183420036032043,8.8511687433942e-05,0.000249124740308732
"speed_limit5",-8.41478777067145e-05,6.50236564507856e-06,6.99244896839067e-05,-2.78237561777273e-05,-6.64176296712943e-05,7.96442968810003e-05,8.74395529433093e-05,8.8511687433942e-05,0.000604317185772503,9.41775333241459e-05
"speed_limit6",-3.30313343143291e-05,-0.000584796639501757,2.5227822416528e-05,-0.000210395509527304,-0.00123972959722564,4.94891423030988e-05,0.000226881627014155,0.000249124740308732,9.41775333241459e-05,0.00265060522877832
